movie_name,genre,genre_count,is_sequel,is_adaptation,is_franchise,rating,runtime_minutes,director_has_hit,star_power,budget_tier,is_domestic,distributor,release_year,release_month,release_week,release_season,holiday_type,holiday_week,competition_index,is_covid_period,total_audience,log_total_audience
Spectre,"Macera, Aksiyon",2,0,1,1,3,148.0,1,3,4,0,WB,2015,11,45,Fall,none,0,5,0,614444,13.328473072834733
6 Süper Kahraman,"Animasyon, 3 Boyutlu",2,0,1,1,0,102.0,1,2,4,0,UIP,2015,1,3,Winter,none,0,12,0,610651,13.322280880197171
Jurassic World,"Gerilim, Fantastik, Aksiyon, 3 Boyutlu",4,0,1,1,3,124.0,0,3,4,0,UIP,2015,6,24,Summer,none,0,5,0,602277,13.308472751352648
Çarşı Pazar,Komedi,1,0,0,0,2,97.0,0,2,1,1,Pin.,2015,2,9,Winter,none,0,9,0,582692,13.275414023845226
Marslı,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,0,1,0,2,144.0,1,3,3,0,TME,2015,10,40,Fall,none,0,8,0,563020,13.241070430469552
Dab6e,Korku,1,0,0,1,4,160.0,1,1,0,1,CGV Mars,2015,9,37,Fall,none,0,9,0,536651,13.19310325531984
Mandıra Filozofu: İstanbul,Komedi,1,0,0,1,0,109.0,1,2,1,1,CF,2015,3,11,Spring,none,0,11,0,508899,13.140004847552396
Ters Yüz,"Animasyon, 3 Boyutlu",2,0,0,0,0,95.0,1,3,4,0,UIP,2015,6,25,Summer,none,0,5,0,489265,13.100659543960544
Otel Transilvanya 2,"Animasyon, 3 Boyutlu",2,1,0,1,0,89.0,1,3,3,0,WB,2015,10,43,Fall,none,0,8,0,483417,13.08863491419625
Ali Kundilli,Komedi,1,0,0,0,2,118.0,0,1,1,1,TME,2015,2,8,Winter,none,0,9,0,482917,13.087600075217969
Terminator: Genisys,"Bilim-Kurgu, Aksiyon",2,0,0,1,3,126.0,1,3,4,0,UIP,2015,6,26,Summer,none,0,5,0,481477,13.084613741685857
Nadide Hayat,Komedi,1,0,0,0,1,118.0,1,3,1,1,CGV Mars,2015,12,51,Winter,none,0,4,0,784305,13.572553254292002
Delibal,"Dram, Romantik",2,0,0,0,2,117.0,0,3,1,1,WB,2015,12,52,Winter,yilbasi,1,4,0,1465092,14.197428597096366
Ant-Man,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1,2,117.0,1,3,3,0,UIP,2015,7,29,Summer,ramazan_bayrami,1,6,0,427204,12.965016929880166
8 Saniye,Dram,1,0,1,0,3,120.0,1,2,1,1,WB,2015,2,9,Winter,none,0,9,0,421070,12.950554369626913
Son Cadı Avcısı,"Fantastik, Aksiyon",2,0,0,0,3,106.0,0,3,3,0,TME,2015,10,43,Fall,none,0,8,0,411018,12.926392288139809
Köstebekgiller: Perili Orman,Aile,1,0,1,1,0,85.0,0,2,1,1,WB,2015,1,4,Winter,none,0,12,0,409407,12.92246505025563
Mad Max: Fury Road,"Macera, Bilim-Kurgu, Aksiyon",3,0,0,1,0,120.0,1,3,4,0,WB,2015,5,20,Spring,none,0,8,0,409042,12.921573119239287
İçimdeki Ses,Komedi,1,0,0,0,2,93.0,0,2,1,1,Pin.,2015,1,5,Winter,none,0,12,0,403641,12.908281148030554
Sünger Bob Kare Pantolon 3D,"Animasyon, 3 Boyutlu",2,0,1,1,1,92.0,0,2,3,0,UIP,2015,2,6,Winter,none,0,9,0,364853,12.807249811717176
Fantastik Dörtlü,"Macera, Fantastik, Aksiyon",3,0,1,1,2,100.0,1,2,3,0,TME,2015,8,32,Summer,none,0,6,0,351708,12.770556564862456
San Andreas Fayı,"Aksiyon, 3 Boyutlu",2,0,0,0,3,114.0,1,3,3,0,WB,2015,5,22,Spring,none,0,8,0,337835,12.730312889593025
Küçük Prens,Animasyon,1,0,1,0,0,108.0,1,3,3,0,CGV Mars,2015,9,39,Fall,kurban_bayrami,1,9,0,331201,12.710480720812354
Uyumsuz Serisi: Kuralsız,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,1,1,1,3,119.0,1,3,3,0,TME,2015,3,12,Spring,none,0,11,0,320843,12.6787071858922
Kod Adı: K.O.Z.,Macera,1,0,0,0,1,114.0,0,1,0,1,CGV Mars,2015,2,7,Winter,none,0,9,0,313361,12.655111159552389
Senden Bana Kalan,"Dram, Romantik",2,0,1,0,0,117.0,0,2,1,1,CGV Mars,2015,4,16,Spring,none,0,5,0,289778,12.576870391563332
Siccin 2,"Korku, Gerilim",2,1,0,1,4,94.0,1,1,0,1,TME,2015,7,28,Summer,none,0,6,0,289327,12.57531281533388
Çılgın Dersane: Ada,Komedi,1,0,0,1,0,106.0,1,2,1,1,TME,2015,1,3,Winter,none,0,12,0,278233,12.53621417113478
Sindirella,"Aile, Fantastik, Dram",3,0,1,1,0,105.0,1,3,3,0,UIP,2015,3,11,Spring,none,0,11,0,269272,12.503477300130076
Yok Artık!,Komedi,1,0,0,0,0,99.0,0,2,1,1,Bir Film,2015,9,39,Fall,kurban_bayrami,1,9,0,269165,12.503079853441204
Güvercin Uçuverdi,Komedi,1,0,0,0,0,89.0,0,2,1,1,CGV Mars,2015,3,13,Spring,none,0,11,0,228622,12.339825263682524
Taşıyıcı: Son Hız,Aksiyon,1,0,0,1,2,96.0,0,1,2,0,TME,2015,9,36,Fall,none,0,9,0,227531,12.335041771826344
Hayat Öpücüğü,Romantik-Komedi,1,0,0,0,0,101.0,0,2,1,1,CGV Mars,2015,10,41,Fall,none,0,8,0,218521,12.294637398739344
Evim,"Animasyon, 3 Boyutlu",2,0,0,0,0,94.0,0,3,1,0,TME,2015,3,13,Spring,none,0,11,0,202333,12.217670133925711
Hitman: Ajan 47,"Gerilim, Suç, Aksiyon",3,1,1,1,3,96.0,0,1,2,0,TME,2015,8,34,Summer,none,0,6,0,198677,12.199435669449544
Jupiter Yükseliyor,"Bilim-Kurgu, 3 Boyutlu",2,0,0,0,2,127.0,1,3,4,0,WB,2015,2,6,Winter,none,0,9,0,197021,12.19106560102363
Kafes,Dram,1,0,0,0,3,117.0,0,1,1,1,ChF,2015,10,40,Fall,none,0,8,0,196444,12.188132682397509
Ajan,Komedi,1,0,0,0,3,119.0,1,3,2,0,TME,2015,6,24,Summer,none,0,5,0,181708,12.110156282033634
Sihirbazlık Okulunda Bir Türk,Komedi,1,0,0,0,2,91.0,0,1,0,1,Pin.,2015,5,21,Spring,19_mayis,1,8,0,181279,12.107792559918286
Casuslar Köprüsü,"Gerilim, Dram",2,0,1,0,1,142.0,1,3,2,0,TME,2015,11,48,Fall,none,0,5,0,189719,12.153299309052052
Bir Varmış Bir Yokmuş,"Dram, Romantik",2,0,0,0,0,105.0,0,2,1,1,CGV Mars,2015,3,10,Spring,none,0,11,0,177518,12.086827291206822
Kingsman: Gizli Servis,"Macera, Aksiyon",2,0,1,1,0,129.0,1,2,2,0,TME,2015,3,11,Spring,none,0,11,0,174459,12.069445035997836
Deccal,Korku,1,0,0,0,0,94.0,0,0,0,1,CGV Mars,2015,7,30,Summer,none,0,6,0,170190,12.044670738988724
Üç Harfliler 2: Hablis,"Korku, Gerilim",2,1,0,1,3,100.0,0,0,0,1,TME,2015,8,33,Summer,none,0,6,0,168520,12.034809716092951
Everest,"Gerilim, Aksiyon, 3 Boyutlu",3,0,1,0,0,121.0,1,2,3,0,UIP,2015,9,38,Fall,none,0,9,0,167420,12.028260904214047
Yarının Dünyası,"Macera, Bilim-Kurgu",2,0,0,0,0,130.0,1,3,4,0,UIP,2015,5,21,Spring,19_mayis,1,8,0,162651,11.999362080053515
Snoopy ve Charlie Brown Peanuts Filmi,"Animasyon, 3 Boyutlu",2,0,1,1,0,88.0,1,0,2,0,TME,2015,11,46,Fall,none,0,5,0,165431,12.0163094684356
Ertuğrul 1890,"Dram, Tarihi, Aksiyon",3,1,1,0,0,132.0,0,1,1,1,CGV Mars,2015,12,52,Winter,yilbasi,1,4,0,451794,13.020981602715374
Yaktın Beni,Komedi,1,0,0,0,2,106.0,0,2,1,1,UIP,2015,10,42,Fall,none,0,8,0,158062,11.970742640101664
7 Cüceler,"Animasyon, 3 Boyutlu",2,0,1,0,0,87.0,0,0,1,0,CGV Mars,2015,1,5,Winter,none,0,12,0,157943,11.969989487426073
Git Başımdan,Romantik-Komedi,1,0,0,0,2,90.0,0,2,1,1,WB,2015,10,44,Fall,29_ekim,1,8,0,155413,11.953841368500449
Tinker Bell ve Canavar Efsanesi,Animasyon,1,0,1,1,0,76.0,0,0,1,0,UIP,2015,5,20,Spring,none,0,8,0,154774,11.949721267374798
Enigma,"Gerilim, Dram",2,0,1,0,1,114.0,1,2,1,0,Pin.,2015,2,8,Winter,none,0,9,0,152428,11.93444763239306
Fatih'in Fedaisi: Kara Murat,Aksiyon,1,0,1,1,2,105.0,0,1,0,1,Pin.,2015,1,3,Winter,none,0,12,0,151416,11.927786294718755
Paranormal Activity 5: Hayalet Boyutu,"Korku, Gerilim, 3 Boyutlu",3,1,0,1,0,88.0,0,0,1,0,UIP,2015,10,43,Fall,none,0,8,0,150500,11.921718363171069
Yedinci Oğul,"Gerilim, Fantastik, 3 Boyutlu",3,0,1,0,0,102.0,1,2,3,0,UIP,2015,1,5,Winter,none,0,12,0,146870,11.897303120747909
Kuzular Firarda,Animasyon,1,0,1,1,0,85.0,0,0,1,0,M3,2015,4,16,Spring,none,0,5,0,148193,11.906270757260302
Kod Adı: U.N.C.L.E.,"Macera, Komedi, Aksiyon",3,0,1,1,2,116.0,1,2,2,0,WB,2015,8,35,Summer,30_agustos,1,6,0,140653,11.854051143231946
Pixels,"Macera, Aksiyon, 3 Boyutlu",3,0,1,0,0,105.0,1,3,3,0,WB,2015,8,34,Summer,none,0,6,0,139982,11.849269121896857
Aşk Olsun,Romantik-Komedi,1,0,0,0,1,95.0,1,2,1,1,CGV Mars,2015,4,15,Spring,none,0,5,0,133428,11.80131728549125
Barbie Prenses ve Rock Star,Animasyon,1,0,1,1,0,84.0,0,0,1,0,UIP,2015,8,33,Summer,none,0,6,0,127264,11.754018948007417
Pırdino Sürpriz Yumurta,Aile,1,0,1,1,0,76.0,0,0,0,1,CGV Mars,2015,11,47,Fall,none,0,5,0,131488,11.786670871683135
Stajyer,Komedi,1,0,0,0,2,121.0,1,3,2,0,WB,2015,9,39,Fall,kurban_bayrami,1,9,0,126963,11.751650984410722
Whiplash,"Dram, Müzik",2,0,0,0,3,107.0,0,1,0,0,M3,2015,1,3,Winter,none,0,12,0,139085,11.84284053600766
Karlar Kraliçesi 2,Animasyon,1,1,1,1,1,81.0,0,0,1,0,CGV Mars,2015,5,18,Spring,1_mayis,1,8,0,123905,11.727270421928088
Bizim Hikaye,"Dram, Aksiyon",2,0,0,0,2,97.0,0,1,1,1,ChF,2015,3,13,Spring,none,0,11,0,124903,11.735292715040584
Ayı Teddy 2,Komedi,1,1,0,1,0,115.0,1,2,2,0,UIP,2015,7,28,Summer,none,0,6,0,121556,11.708130340928289
Asteriks: Roma Sitesi,"Animasyon, 3 Boyutlu",2,0,1,1,0,85.0,0,0,2,0,CGV Mars,2015,2,9,Winter,none,0,9,0,120895,11.70267767925471
Selfless,Bilim-Kurgu,1,0,0,0,2,117.0,1,2,2,0,Pin.,2015,7,28,Summer,none,0,6,0,118223,11.680327950473234
Pişt,Komedi,1,0,0,0,3,98.0,0,0,0,1,CGV Mars,2015,5,22,Spring,none,0,8,0,116017,11.661492011074984
Müzede Bir Gece: Lahitteki Sır,"Komedi, Aile, Aksiyon",3,0,1,1,2,98.0,1,3,3,0,TME,2015,1,1,Winter,yilbasi,1,12,0,115632,11.65816801352276
Mihrez: Cin Padişahı,"Korku, Gerilim",2,0,0,0,3,101.0,0,0,0,1,ChF,2015,4,16,Spring,none,0,5,0,113699,11.641309884625192
Sebahat & Melahat,Komedi,1,0,0,0,1,90.0,0,0,0,1,CF,2015,4,16,Spring,none,0,5,0,108110,11.590904506286815
En Güzeli,Komedi,1,0,0,0,2,92.0,0,1,1,1,CGV Mars,2015,8,35,Summer,30_agustos,1,6,0,107663,11.58676125722922
Ruhlar Bölgesi Bölüm 3,Korku,1,1,0,1,3,97.0,0,1,1,0,WB,2015,6,23,Summer,none,0,5,0,105639,11.567782900254944
Şeytan-ı Racim 2: İfrit,"Korku, Gerilim",2,1,0,1,3,85.0,0,0,0,1,MC,2015,6,23,Summer,none,0,5,0,105600,11.5674136502543
Bana Adını Sor,"Dram, Romantik",2,0,0,0,2,110.0,0,2,1,1,CGV Mars,2015,3,11,Spring,none,0,11,0,103962,11.5517807267389
Kağıttan Kentler,"Dram, Romantik",2,0,1,0,3,109.0,0,1,1,0,TME,2015,7,30,Summer,none,0,6,0,98562,11.498441070769257
Madımak: Carina'nın Günlüğü,Dram,1,0,1,0,4,90.0,0,2,1,1,Pin.,2015,9,39,Fall,kurban_bayrami,1,9,0,98044,11.493171636483368
Mazlum Kuzey,Komedi,1,0,0,0,3,103.0,0,1,0,1,WB,2015,1,3,Winter,none,0,12,0,93326,11.443854018967809
Dağ 2,"Dram, Savaş",2,1,0,1,3,135.0,1,2,1,1,CGV Mars,2016,11,44,Fall,none,0,8,0,3602511,15.097141660286267
Kardeşim Benim,"Komedi, Dram",2,0,0,0,2,118.0,1,3,2,1,CGV Mars,2016,1,2,Winter,none,0,11,0,2070949,14.543517514289857
Dedemin Fişi,Komedi,1,0,0,0,2,100.0,0,3,2,1,UIP,2016,1,3,Winter,none,0,11,0,2015665,14.516459723730604
Osman Pazarlama,Komedi,1,0,0,1,2,114.0,1,3,2,1,WB,2016,2,7,Winter,none,0,6,0,1983777,14.500513161316144
Görümce,Komedi,1,0,0,0,2,110.0,1,3,2,1,CGV Mars,2016,12,48,Winter,none,0,8,0,1914199,14.464809816332355
Batman v Superman: Adaletin Şafağı,"Fantastik, Aksiyon, 3 Boyutlu",3,0,1,1,2,151.0,1,3,4,0,WB,2016,3,12,Spring,none,0,8,0,1462002,14.19531728727998
Kolpaçino 3.Devre,Komedi,1,0,0,1,3,93.0,1,3,2,1,UIP,2016,3,10,Spring,none,0,8,0,1412639,14.16097014424072
İkimizin Yerine,"Dram, Romantik",2,0,0,0,0,126.0,0,3,2,1,UIP,2016,10,42,Fall,none,0,7,0,1373260,14.13269803317362
Kocan Kadar Konuş: Diriliş,Romantik-Komedi,1,0,1,1,0,109.0,1,3,2,1,UIP,2016,1,53,Winter,yilbasi,1,11,0,1332907,14.102872829285124
Çakallarla Dans 4,Komedi,1,1,0,1,3,110.0,1,3,2,1,UIP,2016,11,47,Fall,none,0,8,0,1351247,14.116538427766578
Buz Devri 5: Büyük Çarpışma,"Animasyon, 3 Boyutlu",2,1,0,1,0,94.0,1,2,3,0,TME,2016,7,28,Summer,none,0,6,0,1308876,14.08467931160437
Ekşi Elmalar,"Komedi, Dram, Romantik",3,0,0,0,0,114.0,1,3,1,1,CGV Mars,2016,10,43,Fall,29_ekim,1,7,0,1237921,14.0289439175896
Kaptan Amerika: Kahramanların Savaşı,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1,2,147.0,1,3,4,0,UIP,2016,5,18,Spring,none,0,6,0,1165583,13.96873194899356
Suikast,"Suç, Aksiyon",2,0,0,0,0,98.0,1,2,2,0,CGV Mars,2016,8,34,Summer,none,0,6,0,1123237,13.931725253306563
Deadpool,"Macera, Fantastik, Aksiyon",3,0,1,1,0,108.0,0,2,2,0,TME,2016,2,6,Winter,none,0,6,0,1122044,13.93066257998214
İftarlık Gazoz,"Komedi, Dram",2,0,0,0,2,115.0,1,3,1,1,CGV Mars,2016,1,4,Winter,none,0,11,0,1031094,13.846130932460882
Suicide Squad: Gerçek Kötüler,"Macera, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,0,1,1,0,123.0,1,3,4,0,WB,2016,8,32,Summer,none,0,6,0,956706,13.771251413205077
Küçük Esnaf,Komedi,1,0,0,0,2,104.0,0,2,1,1,CGV Mars,2016,4,14,Spring,none,0,7,0,832050,13.63164781415149
Doktor Strange,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1,2,115.0,1,3,4,0,UIP,2016,11,44,Fall,none,0,8,0,827731,13.626443501355654
İkinci Şans,"Dram, Romantik",2,0,0,0,2,98.0,1,3,1,1,CGV Mars,2016,11,46,Fall,none,0,8,0,823083,13.620812325120912
Bir Baba Hindu,Komedi,1,0,0,0,2,112.0,1,2,1,1,CGV Mars,2016,9,39,Fall,none,0,8,0,769260,13.553184292774802
Sihirbazlar Çetesi 2,"Gerilim, Aksiyon",2,1,0,1,0,129.0,1,3,3,0,TME,2016,6,23,Summer,none,0,7,0,747288,13.524205931981344
İyi Bir Dinozor,"Animasyon, 3 Boyutlu",2,0,0,1,1,93.0,0,2,4,0,UIP,2016,1,2,Winter,none,0,11,0,718008,13.48423599002957
Diriliş,"Macera, Dram",2,0,1,0,0,156.0,1,3,3,0,TME,2016,1,3,Winter,none,0,11,0,633864,13.35958969936757
Bizans Oyunları - Geym of Bizans,Komedi,1,0,0,0,0,109.0,1,2,1,1,CGV Mars,2016,1,2,Winter,none,0,11,0,620380,13.338087472498607
Kayıp Balık Dori,"Animasyon, 3 Boyutlu",2,0,0,1,0,97.0,1,2,4,0,UIP,2016,9,35,Fall,30_agustos,1,8,0,617320,13.333142807014768
Cehennem,Gerilim,1,0,1,1,0,121.0,1,3,3,0,WB,2016,10,41,Fall,none,0,7,0,602373,13.308632133746212
Warcraft,"Fantastik, Aksiyon, 3 Boyutlu",3,0,1,0,3,123.0,1,2,4,0,UIP,2016,6,22,Summer,none,0,7,0,599787,13.304329871170866
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?","Macera, Aile, Fantastik, 3 Boyutlu",4,0,1,1,0,133.0,1,3,4,0,WB,2016,11,46,Fall,none,0,8,0,553027,13.223162103905718
X-Men: Apocalypse,"Fantastik, Aksiyon, 3 Boyutlu",3,0,1,1,3,144.0,1,3,4,0,TME,2016,5,20,Spring,19_mayis,1,6,0,546829,13.211891418270495
Hz. Muhammed: Allah'ın Elçisi,"Dram, Tarihi, Biyografi",3,0,1,0,0,162.0,1,1,2,0,ChF,2016,10,43,Fall,29_ekim,1,7,0,452066,13.021583465853936
Angry Birds Film,"Animasyon, 3 Boyutlu",2,0,1,0,2,97.0,0,2,3,0,WB,2016,5,19,Spring,none,0,6,0,449825,13.01661389722072
Evcil Hayvanların Gizli Yaşamı,"Animasyon, 3 Boyutlu",2,0,0,0,0,87.0,1,2,3,0,UIP,2016,8,31,Summer,none,0,6,0,418363,12.94410475570013
Annemin Yarası,Dram,1,0,0,0,3,120.0,1,3,1,1,CGV Mars,2016,3,10,Spring,none,0,8,0,414547,12.934941636755424
Alvin ve Sincaplar: Yol Macerası,Aile,1,0,1,1,0,92.0,1,1,3,0,TME,2016,1,53,Winter,yilbasi,1,11,0,389959,12.873796884374345
Rogue One: Bir Star Wars Hikayesi,"Macera, Bilim-Kurgu, 3 Boyutlu",3,0,1,1,2,133.0,1,3,4,0,UIP,2016,12,50,Winter,none,0,8,0,428274,12.967518456647596
Tarzan Efsanesi,"Macera, Aksiyon, 3 Boyutlu",3,0,1,0,2,110.0,1,3,4,0,WB,2016,7,27,Summer,ramazan_bayrami,1,6,0,376128,12.837684789972322
Oflu Hoca'nın Şifresi 2,Komedi,1,1,0,1,2,105.0,1,2,0,1,CGV Mars,2016,5,19,Spring,none,0,6,0,367273,12.813860719712943
Mısır Tanrıları,"Macera, Aksiyon",2,0,1,0,2,127.0,1,2,3,0,TME,2016,2,8,Winter,none,0,6,0,363259,12.802871357450446
Kötü Kedi Şerafettin,"Komedi, Animasyon",2,0,1,0,3,86.0,0,2,1,1,UIP,2016,2,5,Winter,none,0,6,0,359176,12.791567798033183
Her Şey Aşktan,Romantik,1,0,0,0,0,105.0,0,2,0,1,WB,2016,1,4,Winter,none,0,11,0,354885,12.7795490723145
Zootropolis: Hayvanlar Şehri,"Animasyon, 3 Boyutlu",2,0,0,0,1,108.0,1,3,3,0,UIP,2016,6,23,Summer,none,0,7,0,353699,12.77620154793484
Jason Bourne,Aksiyon,1,0,1,1,3,123.0,1,3,3,0,UIP,2016,7,30,Summer,none,0,6,0,352614,12.773129253205896
Kung Fu Panda 3,"Animasyon, 3 Boyutlu",2,1,0,1,0,95.0,1,3,3,0,TME,2016,3,11,Spring,none,0,8,0,347915,12.759713476048455
Sen Benim HerŞeyimsin,"Komedi, Dram",2,0,1,0,2,107.0,1,3,1,1,TME,2016,12,49,Winter,none,0,8,0,354959,12.77975756882998
Kaçma Birader,Komedi,1,0,0,0,3,107.0,0,2,0,1,CGV Mars,2016,3,9,Spring,none,0,8,0,332582,12.71464172521454
Troller,"Animasyon, 3 Boyutlu",2,0,1,0,0,92.0,1,2,3,0,TME,2016,11,44,Fall,none,0,8,0,323762,12.687763956946036
Avcı Kış Savaşı,"Macera, Fantastik, Aksiyon",3,0,1,1,2,114.0,0,3,3,0,UIP,2016,4,16,Spring,23_nisan,1,7,0,306080,12.63160178467408
El Değmemiş Aşk,Romantik,1,0,0,0,2,98.0,0,1,0,1,CGV Mars,2016,9,36,Fall,none,0,8,0,305695,12.630343151840686
Assassin's Creed,"Aksiyon, 3 Boyutlu",2,0,1,0,3,115.0,0,3,3,0,TME,2016,12,51,Winter,none,0,8,0,594343,13.295211872767275
Ali Kundilli 2,Komedi,1,1,0,1,2,102.0,1,2,0,1,TME,2016,3,9,Spring,none,0,8,0,298137,12.605308391386997
Ninja Kaplumbağalar: Gölgelerin İçinde,"Macera, Aksiyon, 3 Boyutlu",3,0,1,1,2,112.0,1,2,3,0,UIP,2016,6,25,Summer,none,0,7,0,282068,12.549903455603712
Orman Çocuğu,"Fantastik, Aksiyon, 3 Boyutlu",3,0,1,1,2,106.0,1,3,4,0,UIP,2016,4,15,Spring,none,0,7,0,279901,12.5421912482017
Siccin 3: Cürmü Aşk,Korku,1,1,0,1,0,110.0,1,1,0,1,TME,2016,9,35,Fall,30_agustos,1,8,0,277596,12.53392209828907
Senden Önce Ben,Dram,1,0,1,0,0,106.0,0,2,2,0,WB,2016,6,24,Summer,none,0,7,0,266323,12.492465136829498
Hep Yek,Komedi,1,0,0,0,0,90.0,0,2,0,1,Pin.,2016,2,5,Winter,none,0,6,0,265707,12.490149476903314
Karanlıklar Ülkesi: Kan Savaşları,"Korku, Bilim-Kurgu, Aksiyon, 3 Boyutlu",4,0,0,1,0,91.0,0,2,2,0,WB,2016,12,48,Winter,none,0,8,0,262430,12.477739658785271
Ben-Hur,"Tarihi, Savaş, 3 Boyutlu",3,0,1,0,3,123.0,1,2,3,0,UIP,2016,9,36,Fall,none,0,8,0,254358,12.446498002478911
Leylekler,"Animasyon, 3 Boyutlu",2,0,0,0,0,87.0,1,2,3,0,WB,2016,9,38,Fall,none,0,8,0,250526,12.431317986536166
Müttefik,"Gerilim, Romantik",2,0,0,0,0,124.0,1,3,3,0,UIP,2016,12,48,Winter,none,0,8,0,261795,12.475317033727046
Kurtuluş Günü: Yeni Tehdit,"Bilim-Kurgu, Aksiyon, 3 Boyutlu",3,0,0,1,0,120.0,1,2,4,0,TME,2016,6,25,Summer,none,0,7,0,236648,12.374329083999294
Magi,"Korku, Gerilim",2,0,0,0,4,132.0,1,2,1,1,CGV Mars,2016,4,17,Spring,1_mayis,1,7,0,227978,12.337004412052927
Dönerse Senindir,Romantik-Komedi,1,0,0,0,2,108.0,0,3,1,1,UIP,2016,12,51,Winter,none,0,8,0,609745,13.320796115962546
Bayan Peregrine'in Tuhaf Çocukları,Fantastik,1,0,1,0,2,127.0,1,3,3,0,TME,2016,9,39,Fall,none,0,8,0,226905,12.332286706664409
Üç Harfliler 3: Karabüyü,Korku,1,1,0,1,0,87.0,1,1,0,1,TME,2016,7,26,Summer,none,0,6,0,226349,12.329833334917522
Uyumsuz Serisi: Yandaş Bölüm 1,"Bilim-Kurgu, Aksiyon",2,1,1,1,3,120.0,1,2,3,0,TME,2016,3,10,Spring,none,0,8,0,222857,12.31428558914456
Dünyanın En Güzel Kokusu,"Dram, Romantik",2,0,0,0,3,88.0,0,2,1,1,Bir Film,2016,2,6,Winter,none,0,6,0,219116,12.297356548932806
